epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.181,1.63059,1.6545,1.32805,0.90412,0.56164,0.67691,0.41438,1.49816,1.50333,1.31236,0.000330846,0.000330846,0.0672463
2,83.6973,1.43958,0.98924,1.19029,0.89231,0.78387,0.85886,0.54303,1.29675,0.85702,1.25945,0.000663729,0.000663729,0.0342458
3,108.104,1.40186,0.92173,1.16568,0.81698,0.76256,0.82381,0.53366,1.26052,0.95134,1.18607,0.000994808,0.000994808,0.00124356
4,138.156,1.38193,0.87596,1.16704,0.89037,0.81279,0.88089,0.56406,1.22316,0.85962,1.18703,0.000993906,0.000993906,0.000993906
5,171.193,1.35557,0.83625,1.1464,0.92822,0.77321,0.87219,0.55694,1.24835,0.81682,1.20984,0.000989183,0.000989183,0.000989183
6,212.965,1.3439,0.82072,1.14736,0.92739,0.79909,0.89312,0.57468,1.287,0.74368,1.2166,0.000983133,0.000983133,0.000983133
7,245.532,1.31567,0.77751,1.13041,0.91299,0.7793,0.87585,0.55378,1.24811,0.96934,1.21197,0.000975773,0.000975773,0.000975773
8,275.768,1.32812,0.77824,1.12453,0.92382,0.81583,0.89298,0.57547,1.28833,0.78346,1.20247,0.000967122,0.000967122,0.000967122
9,306.414,1.29999,0.75427,1.11431,0.91021,0.83322,0.90201,0.56901,1.35392,0.75766,1.25541,0.000957205,0.000957205,0.000957205
10,337.303,1.30036,0.73943,1.11569,0.91722,0.82633,0.89589,0.60839,1.19364,0.72994,1.16226,0.000946048,0.000946048,0.000946048
11,368.084,1.27942,0.72793,1.1063,0.90081,0.84318,0.89463,0.60026,1.19196,0.70219,1.15582,0.000933683,0.000933683,0.000933683
12,398.973,1.2785,0.71531,1.10905,0.88184,0.86335,0.90821,0.61495,1.21023,0.70407,1.16812,0.000920142,0.000920142,0.000920142
13,429.888,1.26714,0.70006,1.10455,0.92081,0.86718,0.90942,0.61973,1.15377,0.6661,1.13407,0.000905463,0.000905463,0.000905463
14,460.979,1.25421,0.69359,1.09214,0.91791,0.85693,0.92147,0.61859,1.22525,0.66914,1.1709,0.000889687,0.000889687,0.000889687
15,491.947,1.24423,0.68405,1.09433,0.91024,0.84895,0.9135,0.62582,1.15453,0.65964,1.14605,0.000872857,0.000872857,0.000872857
16,523.392,1.25504,0.68425,1.09834,0.90209,0.85544,0.91156,0.61896,1.16456,0.70106,1.12213,0.000855018,0.000855018,0.000855018
17,557.444,1.22492,0.66715,1.0819,0.89126,0.82337,0.89934,0.62085,1.15392,0.71335,1.1368,0.00083622,0.00083622,0.00083622
18,589.546,1.23416,0.66885,1.08725,0.87762,0.87321,0.91625,0.61734,1.18226,0.64062,1.16005,0.000816514,0.000816514,0.000816514
