image,class,split,source_crop,bbox_pixels
miaocuijiao_cat_001,0,train,妙脆角小猫_01.jpg,"(116, 225, 485, 571)"
miaocuijiao_cat_002,0,train,妙脆角小猫_02.jpg,"(118, 182, 550, 589)"
miaocuijiao_cat_003,0,train,妙脆角小猫_03.jpg,"(120, 131, 595, 591)"
miaocuijiao_cat_004,0,train,妙脆角小猫_04.jpg,"(135, 130, 434, 399)"
miaocuijiao_cat_005,0,val,妙脆角小猫_05.jpg,"(133, 193, 514, 551)"
miaocuijiao_cat_006,0,train,妙脆角小猫_06.jpg,"(188, 203, 585, 568)"
miaocuijiao_cat_007,0,train,妙脆角小猫_07.jpg,"(140, 69, 551, 498)"
miaocuijiao_cat_008,0,train,妙脆角小猫_08.jpg,"(107, 154, 446, 493)"
miaocuijiao_cat_009,0,train,妙脆角小猫_09.jpg,"(78, 26, 595, 544)"
miaocuijiao_cat_010,0,val,妙脆角小猫_10.jpg,"(237, 25, 569, 355)"
miaocuijiao_cat_011,0,train,妙脆角小猫_11.jpg,"(77, 145, 395, 469)"
miaocuijiao_cat_012,0,train,妙脆角小猫_12.jpg,"(24, 115, 442, 546)"
miaocuijiao_cat_013,0,train,妙脆角小猫_13.jpg,"(98, 166, 405, 489)"
miaocuijiao_cat_014,0,train,妙脆角小猫_14.jpg,"(204, 219, 596, 613)"
miaocuijiao_cat_015,0,val,妙脆角小猫_15.jpg,"(230, 165, 625, 567)"
miaocuijiao_cat_016,0,train,妙脆角小猫_16.jpg,"(129, 90, 599, 566)"
miaocuijiao_cat_017,0,train,妙脆角小猫_17.jpg,"(69, 92, 541, 558)"
miaocuijiao_cat_018,0,train,妙脆角小猫_18.jpg,"(181, 203, 510, 543)"
miaocuijiao_cat_019,0,train,妙脆角小猫_19.jpg,"(110, 31, 485, 430)"
miaocuijiao_cat_020,0,val,妙脆角小猫_20.jpg,"(80, 126, 564, 610)"
miaocuijiao_cat_021,0,train,妙脆角小猫_21.jpg,"(64, 191, 480, 604)"
miaocuijiao_cat_022,0,train,妙脆角小猫_22.jpg,"(17, 103, 494, 576)"
miaocuijiao_cat_023,0,train,妙脆角小猫_23.jpg,"(104, 38, 498, 429)"
miaocuijiao_cat_024,0,train,妙脆角小猫_24.jpg,"(242, 244, 599, 606)"
miaocuijiao_cat_025,0,val,妙脆角小猫_25.jpg,"(100, 195, 501, 625)"
miaocuijiao_cat_026,0,train,妙脆角小猫_26.jpg,"(44, 89, 516, 568)"
miaocuijiao_cat_027,0,train,妙脆角小猫_27.jpg,"(31, 204, 328, 504)"
miaocuijiao_cat_028,0,train,妙脆角小猫_28.jpg,"(23, 85, 362, 424)"
miaocuijiao_cat_029,0,train,妙脆角小猫_29.jpg,"(194, 82, 566, 460)"
miaocuijiao_cat_030,0,val,妙脆角小猫_30.jpg,"(118, 142, 530, 562)"
sword_shield_dog_001,1,train,我的刀盾狗_01.jpg,"(169, 77, 604, 481)"
sword_shield_dog_002,1,train,我的刀盾狗_02.jpg,"(146, 161, 623, 592)"
sword_shield_dog_003,1,train,我的刀盾狗_03.jpg,"(273, 312, 612, 618)"
sword_shield_dog_004,1,train,我的刀盾狗_04.jpg,"(131, 52, 580, 506)"
sword_shield_dog_005,1,val,我的刀盾狗_05.jpg,"(191, 223, 560, 588)"
sword_shield_dog_006,1,train,我的刀盾狗_06.jpg,"(280, 71, 559, 374)"
sword_shield_dog_007,1,train,我的刀盾狗_07.jpg,"(102, 196, 531, 623)"
sword_shield_dog_008,1,train,我的刀盾狗_08.jpg,"(57, 97, 566, 606)"
sword_shield_dog_009,1,train,我的刀盾狗_09.jpg,"(116, 17, 585, 489)"
sword_shield_dog_010,1,val,我的刀盾狗_10.jpg,"(88, 55, 485, 467)"
sword_shield_dog_011,1,train,我的刀盾狗_11.jpg,"(217, 245, 561, 589)"
sword_shield_dog_012,1,train,我的刀盾狗_12.jpg,"(266, 271, 614, 574)"
sword_shield_dog_013,1,train,我的刀盾狗_13.jpg,"(190, 68, 536, 391)"
sword_shield_dog_014,1,train,我的刀盾狗_14.jpg,"(28, 312, 355, 621)"
sword_shield_dog_015,1,val,我的刀盾狗_15.jpg,"(14, 146, 553, 628)"
sword_shield_dog_016,1,train,我的刀盾狗_16.jpg,"(56, 158, 460, 537)"
sword_shield_dog_017,1,train,我的刀盾狗_17.jpg,"(70, 131, 475, 475)"
sword_shield_dog_018,1,train,我的刀盾狗_18.jpg,"(127, 273, 443, 557)"
sword_shield_dog_019,1,train,我的刀盾狗_19.jpg,"(180, 96, 622, 545)"
sword_shield_dog_020,1,val,我的刀盾狗_20.jpg,"(38, 95, 416, 464)"
sword_shield_dog_021,1,train,我的刀盾狗_21.jpg,"(31, 31, 580, 605)"
sword_shield_dog_022,1,train,我的刀盾狗_22.jpg,"(98, 58, 595, 538)"
sword_shield_dog_023,1,train,我的刀盾狗_23.jpg,"(62, 186, 420, 545)"
sword_shield_dog_024,1,train,我的刀盾狗_24.jpg,"(37, 136, 507, 606)"
sword_shield_dog_025,1,val,我的刀盾狗_25.jpg,"(313, 136, 618, 451)"
sword_shield_dog_026,1,train,我的刀盾狗_26.jpg,"(73, 157, 477, 559)"
sword_shield_dog_027,1,train,我的刀盾狗_27.jpg,"(188, 211, 568, 557)"
sword_shield_dog_028,1,train,我的刀盾狗_28.jpg,"(269, 249, 624, 573)"
sword_shield_dog_029,1,train,我的刀盾狗_29.jpg,"(21, 152, 377, 487)"
sword_shield_dog_030,1,val,我的刀盾狗_30.jpg,"(183, 201, 543, 531)"
